Gongwei,Commentary,ModuleID,Channels,Chewei,Hlimit,Llimit,Use,Kiln,Type,Value,CoefficientA,CoefficientB,Weizhi
TA5_TM,顶部温度,3,0,5,650,450,True,A,0,1013.5,1,0,M
TA8_TM,顶部温度,3,2,8,800,600,True,A,0,994.8,1,0,M
TA10_TM,顶部温度,3,3,10,950,750,True,A,0,994.1,1,0,M
TA12_TM,顶部温度,3,5,12,1050,850,True,A,0,20,1,0,M
TA14_TM,顶部温度,4,0,14,1153,980,True,A,0,949.7,1,0,M
TA16_TM,顶部温度,4,3,16,1090,890,True,A,0,822.5,1,0,M
TA18_TM,顶部温度,4,6,18,1090,900,True,A,0,745.9,1,0,M
TA20_TM,顶部温度,5,0,20,1100,862,True,A,0,25.4,1,0,M
TA22_TM,顶部温度,5,2,22,1000,800,True,A,0,26.5,1,0,M
TA24_TM,顶部温度,5,3,24,920,720,True,A,0,127.2,1,0,M
TA26_TM,顶部温度,5,4,26,780,580,True,A,0,21.4,1,0,M
TA31_TM,顶部温度,5,5,31,500,400,True,A,0,34.3,1,0,M
TA12_LD,左侧面温度,3,4,12,890,800,True,A,1,10.6,1,0,D
TA16_LU,左侧面温度,4,2,16,888,678,True,A,1,854.1,1,0,U
TA16_LD,左侧面温度,4,1,16,1000,780,True,A,1,912.5,1,0,D
TA20_LD,左侧面温度,5,1,20,890,780,True,A,1,138.3,1,0,D
TA6_BM,车底温度,3,1,6,320,30,True,A,4,926,1,0,M
TA12_RD,右侧面温度,3,6,12,1000,980,True,A,9,19.5,1,0,D
TA16_RD,右侧面温度,4,4,16,1000,123,True,A,9,828,1,0,D
TA16_RU,右侧面温度,4,5,16,1000,123,True,A,9,714.2,1,0,U
TA20_RD,右侧面温度,4,7,20,777,666,True,A,9,616.6,1,0,D
TB5_TM,顶部温度,8,0,5,650,450,True,B,0,8,1,0,M
TB8_TM,顶部温度,8,2,8,800,600,True,B,0,8.2,1,0,M
TB10_TM,顶部温度,8,3,10,950,750,True,B,0,8.3,1,0,M
TB12_TM,顶部温度,8,4,12,1050,850,True,B,0,8.4,1,0,M
TB14_TM,顶部温度,7,0,14,1100,980,True,B,0,7,1,0,M
TB16_TM,顶部温度,7,3,16,1090,890,True,B,0,7.3,1,0,M
TB18_TM,顶部温度,7,6,18,1090,900,True,B,0,7.6,1,0,M
TB20_TM,顶部温度,6,0,20,1070,870,True,B,0,702.9,1,0,M
TB22_TM,顶部温度,6,2,22,1000,800,True,B,0,604.9,1,0,M
TB24_TM,顶部温度,6,3,24,920,720,True,B,0,427.5,1,0,M
TB26_TM,顶部温度,6,4,26,780,580,True,B,0,527.6,1,0,M
TB31_TM,顶部温度,6,5,31,500,400,True,B,0,319.5,1,0,M
TB12_LD,左侧面温度,8,5,12,890,800,True,B,1,8.5,1,0,D
TB16_LU,左侧面温度,7,2,16,888,678,True,B,1,7.2,1,0,U
TB16_LD,左侧面温度,7,1,16,1000,780,True,B,1,7.1,1,0,D
TB20_LD,左侧面温度,7,7,20,890,780,True,B,1,7.7,1,0,D
TB6_BM,车底温度,8,1,6,320,30,True,B,4,8.1,1,0,M
TB12_RD,右侧面温度,8,6,12,654,456,True,B,9,8.6,1,0,D
TB16_RD,右侧面温度,7,5,16,1000,123,True,B,9,7.5,1,0,D
TB16_RU,右侧面温度,7,4,16,1000,123,True,B,9,7.4,1,0,U
TB20_RD,右侧面温度,6,1,20,777,666,True,B,9,504,1,0,D
T19_TM,顶部温度,2,4,9,150,90,True,1,0,600.4,1,0,M
T114_TM,顶部温度,2,2,14,150,90,True,1,0,560,1,0,M
T118_TM,顶部温度,2,0,18,150,90,True,1,0,351.9,1,0,M
T29_TM,顶部温度,2,5,9,150,90,True,2,0,620.2,1,0,M
T214_TM,顶部温度,2,3,14,150,90,True,2,0,536.8,1,0,M
T218_TM,顶部温度,2,1,18,150,90,True,2,0,56.7,1,0,M